category,driver,variable
bio,biomass,A. nodosum tip growth (1 year segment - Outer Mid Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Outer Mid Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (1 year segment - Outer Mid Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Outer Mid Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (1 year segment - Outer Mid Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (1 year segment - Outer Mid Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (2 year segment - Central Mid Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (2 year segment - Central Mid Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Central Mid Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (2 year segment - Central Mid Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Central Mid Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (2 year segment - Central Mid Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Central Mid Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Lower Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Lower Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Lower Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Lower Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Lower Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Lower Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Lower Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Mid Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Mid Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Mid Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Mid Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Mid Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Mid Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Mid Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Upper Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Upper Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Upper Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Upper Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Upper Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Upper Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Inner Upper Tidal Zone) [n]
bio,biomass,A. nodosum tip growth (2 year segment - Outer Mid Tidal Zone) [Avg cm]
bio,biomass,A. nodosum tip growth (2 year segment - Outer Mid Tidal Zone) [Avg g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Outer Mid Tidal Zone) [SE cm]
bio,biomass,A. nodosum tip growth (2 year segment - Outer Mid Tidal Zone) [SE g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Outer Mid Tidal Zone) [Std cm]
bio,biomass,A. nodosum tip growth (2 year segment - Outer Mid Tidal Zone) [Std g dw]
bio,biomass,A. nodosum tip growth (2 year segment - Outer Mid Tidal Zone) [n]
bio,biomass,A. orbiculata [#]
bio,biomass,A. orbiculata [%]
bio,biomass,A. radiata [#/m**2]
bio,biomass,A. radiata std dev [±]
bio,biomass,A. rara [%]
bio,biomass,A. rubricata [#/m**2]
bio,biomass,A. rubricata [g/m**2]
bio,biomass,A. sarsi [#/m**3]
bio,biomass,A. setosa [%]
bio,biomass,A. sphenoides C [µg/l]
bio,biomass,A. sphenoides std dev [±]
bio,biomass,A. sulcata [%]
bio,biomass,A. sulfurea [#]
bio,biomass,A. turgidum [%]
bio,biomass,Acanthis hornemanni eggs laid [n]
bio,biomass,Acanthostomella norvegica [% total]
bio,biomass,Acanthostomella norvegica [%]
bio,biomass,Acanthostomella norvegica [cells/l]
bio,biomass,Acartia clausi - AF [ind/m3]
bio,biomass,Acartia longiremis - AF [ind/m3]
bio,biomass,Acartia longiremis - AF/AM [ind/m3]
bio,biomass,Acartia longiremis - AM [ind/m3]
bio,biomass,Acartia longiremis - CI [ind/m3]
bio,biomass,Acartia longiremis - CI-CIII [ind/m3]
bio,biomass,Acartia longiremis - CI-CV [ind/m3]
bio,biomass,Acartia longiremis - CII [ind/m3]
bio,biomass,Acartia longiremis - CIII [ind/m3]
bio,biomass,Acartia longiremis - CIV [ind/m3]
bio,biomass,Acartia longiremis - CV [ind/m3]
bio,biomass,Acartia longiremis [ind/m3]
bio,biomass,Acartia spp. c C [mg/m**3]
bio,biomass,Acartia spp. c l [mm]
bio,biomass,Acartia spp. c4 C [mg/m**3]
bio,biomass,Acartia spp. c4 l [mm]
bio,biomass,Acartia spp. c5 C [mg/m**3] (Average)
bio,biomass,Acartia spp. c5 l [mm] (Average)
bio,biomass,Acartia spp. naup C [mg/m**3]
bio,biomass,Acartia spp. naup l [mm]
bio,biomass,Achnantes groenlandica [%]
bio,biomass,Achnanthes groenlandica [%]
bio,biomass,Achnanthes longipes [%]
bio,biomass,Achnanthes spp. [% total]
bio,biomass,Achnanthes taeniata [%]
bio,biomass,Acrocladium sp. [%]
bio,biomass,Acrosiphonia arcta [biomass (g)]
bio,biomass,Acrosiphonia arcta [cover (%)]
bio,biomass,Acrosiphonia indet. [biomass (g)]
bio,biomass,Acrosiphonia indet. [cover (%)]
bio,biomass,Acrosiphonia sonderi [biomass (g)]
bio,biomass,Acrosiphonia sonderi [cover (%)]
bio,biomass,Acrosiphonia sp. [biomass (g)]
bio,biomass,Acrosiphonia sp. [g/m**2]
bio,biomass,Acrosiphonia spp. biom wm [g/m**2]
bio,biomass,Actiniaria [g]
bio,biomass,Actinocyclus circellus [%]
bio,biomass,Actinocyclus normanii [%]
bio,biomass,Actinocyclus sp [%]
bio,biomass,Actinocyclus sp. [%]
bio,biomass,Actinocyclus sp. cf. normanii [%]
bio,biomass,Actinocyclus subtilissima [%]
bio,biomass,Actinocyclus tennuissimus [%]
bio,biomass,Actinocyclus tenuissimus [%]
bio,biomass,Aeginopsis laurentii - larvae [ind/m3]
bio,biomass,Aeginopsis laurentii [ind/m2]
bio,biomass,Aeginopsis laurentii [ind/m3]
bio,biomass,Aeginopsis laurentii; 5 gte [ind/m3]
bio,biomass,Aeginopsis laurentii; 5 lt [ind/m3]
bio,biomass,Aetideidae (CI-CIII) [ind/m3]
bio,biomass,Aetideidae (CIV) [ind/m3]
bio,biomass,Aetideidae - CI [ind/m3]
bio,biomass,Aetideidae - CI-CIII [cells/dm2]
bio,biomass,Aetideidae - CI-CIII [ind/m3]
bio,biomass,Aetideidae - CIV [ind/m3]
bio,biomass,Aetideidae [ind/m3]
bio,biomass,Aetideopsis minor - AF [ind/m3]
bio,biomass,Aetideopsis minor - CIV [ind/m3]
bio,biomass,Aetideopsis minor - CV [ind/m3]
bio,biomass,Aetideopsis minor [ind/m3]
bio,biomass,Aetideopsis rostrata - AF [ind/m3]
bio,biomass,Aetideopsis rostrata - CIV [ind/m3]
bio,biomass,Aetideopsis rostrata - CV [ind/m3]
bio,biomass,Aetideopsis rostrata [ind/m3]
bio,biomass,Aetideus armatus - AF [ind/m3]
bio,biomass,Aetideus armatus - CI [ind/m3]
bio,biomass,Aetideus armatus - CIV [ind/m3]
bio,biomass,Aetideus armatus [ind/m3]
bio,biomass,Aglantha digitale [ind/m2]
bio,biomass,Aglantha digitale [ind/m3]
bio,biomass,Aglantha digitale; 1 lt [ind/m3]
bio,biomass,Aglantha digitale; 5 gte [ind/m3]
bio,biomass,Aglantha digitale; 5 lt [ind/m3]
bio,biomass,Alca torda [n]
bio,biomass,Alexandrium ostenfeldii [%]
bio,biomass,Alexandrium sp [%]
bio,biomass,Alexandrium sp. [%]
bio,biomass,Alexandrium sp. [cells/l]
bio,biomass,Alexandrium spp. [% total]
bio,biomass,Alexandrium tamarense [cells/l]
bio,biomass,Algirosphaera robusta [% total]
bio,biomass,Algirosphaera robusta [cells/l]
bio,biomass,Alle alle head length [mm]
bio,biomass,Alle alle mass [g]
bio,biomass,Amblyraja radiata [kg]
bio,biomass,Ammodytes sp. [individuals/m3]
bio,biomass,Amphacorinella spp. [%]
bio,biomass,Ampharetidae [g]
bio,biomass,Amphidinium crassum [% total]
bio,biomass,Amphidinium crassum [cells/l]
bio,biomass,Amphidinium longum [cells/l]
bio,biomass,Amphidinium sp [%]
bio,biomass,Amphidinium sp. [%]
bio,biomass,Amphidinium sp. [cells/l]
bio,biomass,Amphidinium sphenoides [cells/l]
bio,biomass,Amphidinium spp. [% total]
bio,biomass,Amphidium sp. [%]
bio,biomass,Amphipleura pellucida [% total]
bio,biomass,Amphipoda [cells/dm2]
bio,biomass,Amphipoda [g]
bio,biomass,Amphipoda [ind/m3]
bio,biomass,Amphipoda indet. [ind/m3]
bio,biomass,Amphipoda sp. [biomass (g)]
bio,biomass,Amphipoda sp. [n]
bio,biomass,Amphora angusta var. ventricosa [% total]
bio,biomass,Amphora crassa [% total]
bio,biomass,Amphora hyalina [% total]
bio,biomass,Amphora laevis var. laevissima [% total]
bio,biomass,Amphora lineolata [% total]
bio,biomass,Amphora maletractata [%]
bio,biomass,Amphora marina [%]
bio,biomass,Amphora obtusa [% total]
bio,biomass,Amphora ovalis [% total]
bio,biomass,Amphora ovalis var. gracilis [% total]
bio,biomass,Amphora pediculus [% total]
bio,biomass,Amphora proteus [% total]
bio,biomass,Amphora sp. [%]
bio,biomass,Amphora spp. [% total]
bio,biomass,Amylax triacantha [% total]
bio,biomass,Amylax triacantha [%]
bio,biomass,Amylax triacantha [cells/l]
bio,biomass,Anarhichas lupus [kg]
bio,biomass,Anas platyrhynchos [n]
bio,biomass,Anisonema spp. [% total]
bio,biomass,Anomiidae [g]
bio,biomass,Anser brachyrhynchus eggs hatched [n]
bio,biomass,Anser brachyrhynchus eggs laid [n]
bio,biomass,Anthozoa cf. Cerinula - larvae [ind/m3]
bio,biomass,Apherusa glacialis [ind/m3]
bio,biomass,Appendicularia - larvae [ind/m3]
bio,biomass,Appendicularia [ind/m3]
bio,biomass,Arenaria interpres eggs hatched [n]
bio,biomass,Arenaria interpres eggs laid [n]
bio,biomass,Argentina [kg]
bio,biomass,Arrhis phyllonyx [ind/m3]
bio,biomass,Artediellus atlanticus [kg]
bio,biomass,Ascidiacea [g]
bio,biomass,Ascophyllum nodosum [biomass (g)]
bio,biomass,Ascophyllum nodosum [cover (%)]
bio,biomass,Aspidophoroides monopterygius [individuals/m3]
bio,biomass,Astacolus spp. [%]
bio,biomass,Astarte [g]
bio,biomass,Asterionella cf. bleakeleyi [% total]
bio,biomass,Asterionella formosa [% total]
bio,biomass,Asteroidea - larvae [ind/m3]
bio,biomass,Asteromphalus hyalinus [%]
bio,biomass,Asteromphalus sp. [%]
bio,biomass,Atteya cf spetentrionalis [%]
bio,biomass,Attheya decora [% total]
bio,biomass,Attheya longicornis [%]
bio,biomass,Attheya septentrionalis [% total]
bio,biomass,Attheya septentrionalis [%]
bio,biomass,Attheya sp. [%]
bio,biomass,Attheya spp. [% total]
bio,biomass,Attheya sptentrionalis [%]
bio,biomass,Augaptilus glacialis - AF [ind/m3]
bio,biomass,Augaptilus glacialis [ind/m3]
bio,biomass,Aulacoseira alpigena [% total]
bio,biomass,Aulacoseira sp. [%]
bio,biomass,Aulacoseira spp. [% total]
bio,biomass,Autolytus sp. [#/m**2]
bio,biomass,Autolytus sp. [g/m**2]
bio,biomass,Autolytus sp. [ind/m3]
bio,biomass,Axinellida [g]
bio,biomass,Azadinium spinosum [cells/l]
bio,biomass,Azadinium spp. [% total]
bio,biomass,Azolla sp. [#] (Azolla sp. 1)
bio,biomass,Azolla sp. [%] (Azolla sp. 1)
bio,biomass,Azolla spp. [%] (from)
bio,biomass,Azolla spp. [%] (to)
bio,biomass,B. aculeata [%]
bio,biomass,B. arctica [#/m**2]
bio,biomass,B. arctica [%]
bio,biomass,B. arctica [g/m**2]
bio,biomass,B. balanus [#]
bio,biomass,B. carpenterii [#/m**2]
bio,biomass,B. carpenterii std dev [±]
bio,biomass,B. cf. carpenteri [#]
bio,biomass,B. cf. subspinescens [%]
bio,biomass,B. crenatus [#/m**2]
bio,biomass,B. crenatus [g/m**2]
bio,biomass,B. cucumis [#/m**3]
bio,biomass,B. elegantissima [%]
bio,biomass,B. frigida [%]
bio,biomass,B. hensoni [%]
bio,biomass,B. margaritacea [#/m**2] (species questionable)
bio,biomass,B. margaritacea std dev [±]
bio,biomass,B. marginata [%]
bio,biomass,B. mysticetus TL [m] (max)
bio,biomass,B. mysticetus TL [m] (min)
bio,biomass,B. mysticetus [#]
bio,biomass,B. nana [%]
bio,biomass,B. pseudopunctata [%]
bio,biomass,B. saida [#] (used for biochemical analysis)
bio,biomass,B. saida [#] (used for factors and indices)
bio,biomass,B. saida l [mm]
bio,biomass,B. saida l [mm] (fork length)
bio,biomass,B. saida m [g]
bio,biomass,B. saida std dev [±] (TL)
bio,biomass,B. saida std dev [±] (d13C)
bio,biomass,B. saida std dev [±] (d15N)
bio,biomass,B. saida std dev [±] (fork length)
bio,biomass,B. saida std dev [±] (mass)
bio,biomass,B. saida std dev [±] (proportion stom cont)
bio,biomass,B. saida stomach cont [%] ((prey no.)/(total no. of prey...)
bio,biomass,B. saida stomach cont [%] (frequency of occurrence)
bio,biomass,B. saida δ13C t [‰]
bio,biomass,B. saida δ15N t [‰] (#n = 19)
bio,biomass,B. similis [#/m**3]
bio,biomass,B. spathulata [%]
bio,biomass,B. stalks [#]
bio,biomass,B. villosa [#]
bio,biomass,Bacillaria paxillifera var. tumidula [% total]
bio,biomass,Bacillaria socialis [% total]
bio,biomass,Bacillariophyta [% total]
bio,biomass,Bacteriosira bathyomphala [%]
bio,biomass,Bacteriosira sp. [%]
bio,biomass,Bacterosira bathyomphala [% total]
bio,biomass,Bacterosira bathyomphala [%]
bio,biomass,Bacterosira sp. [%]
bio,biomass,Balaena mysticetus [n]
bio,biomass,Balaenoptera acutorostrata [n]
bio,biomass,Balaenoptera borealis [n]
bio,biomass,Balaenoptera musculus [n]
bio,biomass,Balaenoptera physalus [n]
bio,biomass,Balanus sp. [#/m**2]
bio,biomass,Balanus sp. cov [%]
bio,biomass,Bangia fuscopurpurea [biomass (g)]
bio,biomass,Bangia fuscopurpurea [cover (%)]
bio,biomass,Bathyarca glacialis [g]
bio,biomass,Bathycrinus spp. [#/m**2] (stalk)
bio,biomass,Bathycrinus spp. std dev [±]
bio,biomass,Bathylagus euryops [individuals/m3]
bio,biomass,Bathyporeia sp. [ind/m3]
bio,biomass,Bellerochea sp.  [%]
bio,biomass,Berkeleya rutilans  [%]
bio,biomass,Beroe cucumis [ind/m2]
bio,biomass,Beroe cucumis [ind/m3]
bio,biomass,Beröe cucumis [ind/m3]
bio,biomass,Biremis ambigua [% total]
bio,biomass,Bivalve sp. [biomass (g)]
bio,biomass,Bivalve sp. [n]
bio,biomass,Bivalvia (veliger) [ind/m3]
bio,biomass,Bivalvia - juvenile [ind/m3]
bio,biomass,Bivalvia - veliger [cells/dm2]
bio,biomass,Bivalvia - veliger [ind/m3]
bio,biomass,Bivalvia - veliger; 5 lt [ind/m3]
bio,biomass,Bivalvia [ind/m3]
bio,biomass,Blidingia minima [biomass (g)]
bio,biomass,Blidingia minima [cover (%)]
bio,biomass,Bopyridae [cells/dm2]
bio,biomass,Bopyridae [ind/m3]
bio,biomass,Boreogadus saida - larvae [ind/m3]
bio,biomass,Boreogadus saida [10^6 kg]
bio,biomass,Boreogadus saida [ind/m3]
bio,biomass,Boreomysis arctica [ind/m3]
bio,biomass,Boreotrophon [g]
bio,biomass,Boroecia borealis [ind/m3]
bio,biomass,Boroecia maxima [ind/m3]
bio,biomass,Botrynema ellinorae [ind/m3]
bio,biomass,Bougainvillia sp. [ind/m3]
bio,biomass,Bougainvillia spp. [ind/m3]
bio,biomass,Brachiopoda [g]
bio,biomass,Brada [g]
bio,biomass,Bradyidius similis - AF [ind/m3]
bio,biomass,Bradyidius similis - AM [ind/m3]
bio,biomass,Bradyidius similis - CI [ind/m3]
bio,biomass,Bradyidius similis - CII [ind/m3]
bio,biomass,Bradyidius similis - CIII [ind/m3]
bio,biomass,Bradyidius similis - CIV [ind/m3]
bio,biomass,Bradyidius similis - CV [ind/m3]
bio,biomass,Bradyidius similis [ind/m3]
bio,biomass,Branta Canadensis [n]
bio,biomass,Brebissonia spp. [% total]
bio,biomass,Brigantedinium spp. [%]
bio,biomass,Bryozoa (larvae) [ind/m3]
bio,biomass,Bryozoa - larvae [ind/m3]
bio,biomass,Bryozoa [g]
bio,biomass,Bryum sp. [%]
bio,biomass,Bubo scandiacus eggs hatched [n]
bio,biomass,Bubo scandiacus eggs laid [n]
bio,biomass,Buccinidae [g]
bio,biomass,Bythocaris spp. [#/m**2]
bio,biomass,Bythocaris spp. [#]
bio,biomass,Bythocaris spp. std dev [±]
bio,biomass,C. alpinum [%]
bio,biomass,C. angustifolium [%]
bio,biomass,C. arctica-T [%]
bio,biomass,C. arcticus [#/m**2]
bio,biomass,C. arcticus [#]
bio,biomass,C. arcticus std dev [±]
bio,biomass,C. armata m l [mm]
bio,biomass,C. capitata [#]
bio,biomass,C. capitata [%]
bio,biomass,C. crassicorne [%]
bio,biomass,C. craticula [#/m**2]
bio,biomass,C. craticula [g/m**2]
bio,biomass,C. cristata biom wm [g/m**2]
bio,biomass,C. decusata [#/m**2]
bio,biomass,C. decusata [g/m**2]
bio,biomass,C. decussata [%]
bio,biomass,C. denticulata [#]
bio,biomass,C. filum biom wm [g/m**2]
bio,biomass,C. finmarchicus C [mg/m**3] (Average)
bio,biomass,C. finmarchicus C [µg/m**3]
bio,biomass,C. finmarchicus [#/m**3]
bio,biomass,C. finmarchicus [#]
bio,biomass,C. finmarchicus [%]
bio,biomass,C. finmarchicus [%] (% females in 0-50 m)
bio,biomass,C. finmarchicus [%] (% spawning)
bio,biomass,C. finmarchicus c3 C [mg/m**3] (Average)
bio,biomass,C. finmarchicus c3 [#/m**3]
bio,biomass,C. finmarchicus c3 l [mm] (Average)
bio,biomass,C. finmarchicus c4 C [mg/m**3] (Average)
bio,biomass,C. finmarchicus c4 [#/m**3]
bio,biomass,C. finmarchicus c4 l [mm] (Average)
bio,biomass,C. finmarchicus c5 [#/m**3]
bio,biomass,C. finmarchicus c5 l [mm] (Average)
bio,biomass,C. finmarchicus egg d [µm]
bio,biomass,C. finmarchicus egg vol [µm**3]
bio,biomass,C. finmarchicus f C [mg/m**3] (Average)
bio,biomass,C. finmarchicus f [#/m**3]
bio,biomass,C. finmarchicus f l [mm]
bio,biomass,C. finmarchicus f l [mm] (Average)
bio,biomass,C. finmarchicus f m [mg] (dry weight)
bio,biomass,C. finmarchicus m C [mg/m**3] (Average)
bio,biomass,C. finmarchicus m l [mm] (Average)
bio,biomass,C. finmarchicus std dev [±] (egg carbon)
bio,biomass,C. finmarchicus std dev [±] (egg diameter)
bio,biomass,C. finmarchicus std dev [±] (egg nitrogen)
bio,biomass,C. finmarchicus std dev [±] (egg volume)
bio,biomass,C. flagelliformis biom wm [g/m**2]
